日期,歲數,類別,事件,事件.1,事件.2,描述
2016-06-02,19.7,太陽弧,T,=,‹,chart  Getting along with others; combined efforts pay off.
2016-10-17,20.1,太陽弧,O,=,X,"chart  Very important time of life: there can be the sense of ego disappearance; the identity somehow gets lost in situations through disregard or through drugs or alcohol in emotional defensiveness. possible success through the arts, imagination, aesthetics; peculiar states in the early home life; job vagaries for the adults."
2017-02-18,20.4,太陽弧,E,=,P,chart  The ability to persuade; communicating new perspectives.
2017-05-31,20.7,太陽弧,R,=,P,chart  Grace is brought to power; improved acceptance for the indomitable.
2017-06-13,20.7,太陽弧,U,=,O,chart  Suffering as a martyr to a cause; losing focus; wanting to give up under stress; denial.
2018-08-22,21.9,太陽弧,Q,=,P,chart  Illumination of power needs; the need to control; new perspectives confirmed in life.
2018-09-01,22.0,太陽弧,O,=,Z,"chart  High sensitivity, impressionability; spiritual projection; loss of ego."
2019-03-13,22.5,太陽弧,W,=,P,chart  Zeal; intensity of self-application.
2019-04-23,22.6,太陽弧,‹,=,I,chart  Shared experiences are particularly rewarding.
2019-05-12,22.7,太陽弧,I,=,Y,chart  The big break; boundless optimism.
2019-11-25,23.2,太陽弧,Y,=,I,chart  The big break; success or going one's independent way to greener pastures.
2019-12-14,23.2,太陽弧,I,=,‹,chart  Meeting with unusual people pay off; sudden relationshiops.
2020-01-24,23.4,太陽弧,P,=,W,chart  Extreme emotional intensity; upheavals; exaggerated new plans.
2020-08-04,23.9,太陽弧,Z,=,O,chart  Gaining acceptance for one's specialness.
2020-08-14,23.9,太陽弧,P,=,Q,chart  Powerful force creates major change in the life; identity change; sudden prominence; exhibitionism.
2021-10-23,25.1,太陽弧,O,=,U,chart  Losing focus of ambition; depression; sense of being wronged.
2021-11-04,25.1,太陽弧,P,=,R,chart  Intensification of love desires; affairs; compulsiveness; wasting emotions.
2022-02-14,25.4,太陽弧,P,=,E,chart  The ability to persuade; demanding new perspectives.
2022-06-17,25.7,太陽弧,X,=,O,"chart  Accentuation of creativity on the job; disruption in the home life; being pushed around; feeling lost; ""losing it."""
2022-11-01,26.1,太陽弧,‹,=,T,chart  Meeting others to get the work done.
2023-04-17,26.6,太陽弧,U,=,I,chart  Tension between the avant-garde and the conventional; the new and the old; feeling controls; need to fight for gains.
2023-06-04,26.7,太陽弧,Y,=,T,"chart  Tremendous energy; enterprise; making things happen in a big way; ""making waves"" effectively."
2023-07-17,26.8,太陽弧,T,=,P,chart  Extreme force; persuasion; control; brutality; excessive effort.
2025-03-13,28.5,太陽弧,O,=,Y,"chart  Emphasis on things spiritual, philosophical, religious, extrasensory; benevolence; self-indulgences; tricky legalisms."
2025-10-14,29.1,太陽弧,O,=,‹,chart  Possible break down of relationships; sense of being out of the group; or bound together through spiritual sharing.
2026-04-04,29.5,太陽弧,P,=,X,chart  Extremely important time of life: dramatic changes of perspective are practically assured; identity transformation is possible; job adjustment is major; professional developments are life significant; parental adjustments in the early home are personally significant; separations; a life-milestone.
2026-06-04,29.7,太陽弧,Z,=,I,"chart  Showcase opportunity for individuality; ""show off"" time."
2026-08-05,29.9,太陽弧,E,=,O,chart  Thinking about what to feel; alert imagination; special awarenesses.
2026-10-22,30.1,太陽弧,U,=,T,chart  Putting a damper on things; ups and downs; indecision; failing.
2026-11-15,30.2,太陽弧,R,=,O,chart  Love in a swoon; erotic imaginings; artistic ideas.
2027-01-21,30.3,太陽弧,I,=,P,chart  Overturning the status quo; creating a whole new perspective for ego recognition.
2027-03-03,30.5,太陽弧,‹,=,W,chart  Contacts with others brings assistance and comfort.
2027-09-21,31.0,太陽弧,‹,=,Q,chart  New contacts come into the life.
2027-10-03,31.0,太陽弧,Y,=,W,chart  Opportunity; reward; publicity; success.
2028-02-03,31.4,太陽弧,Q,=,O,"chart  Illumination of sensitivity, imagination, aesthetics; possible befuddlement, remoteness, impracticality."
2028-02-13,31.4,太陽弧,P,=,Z,chart  Extremely important time of life: dramatic change of perspective are possible; identity transformation; geographic relocation; taking command of things; a life milestone.
2028-04-14,31.6,太陽弧,X,=,I,chart  Brings the power of selfhood forward; assertion is recognized; strong developmental tensions for job and social position.
2028-04-23,31.6,太陽弧,Y,=,Q,chart  Being rewarded; success; a great vacation.
2028-08-24,31.9,太陽弧,W,=,O,"chart  The awakening of aesthetics, specially sensitivities, or the spirit."
2028-12-10,32.2,太陽弧,‹,=,R,chart  Contact with someone or an event in the arts; cultural get-togethers; romance; emotional meetings.
2029-03-21,32.5,太陽弧,‹,=,E,chart  Meeting others to change ideas.
2029-07-12,32.8,太陽弧,Y,=,R,chart  Success in love; artistic success; philanthropy; birthing.
2029-10-21,33.1,太陽弧,Y,=,E,chart  Intellect; thoughts about the spirit; legal issues; travel.
2029-12-08,33.2,太陽弧,Z,=,T,chart  Robustness.
2031-02-18,34.4,太陽弧,U,=,W,chart  Self-control; loneliness
2031-03-31,34.5,太陽弧,P,=,U,"chart  The threat of loss in any area of life; potential self-destructions; hard, hard work."
2031-09-08,35.0,太陽弧,U,=,Q,"chart  The sense of difficulty, overwork, depletion, confinement, discipline; the fear of loss; ""aloneness""; possibly grief."
2031-10-17,35.1,太陽弧,X,=,T,chart  Recognition; responsibility grows; change of status.
2032-05-29,35.7,太陽弧,E,=,I,chart  Impulsive action; provocative ideas; inspiration.
2032-09-07,36.0,太陽弧,R,=,I,"chart  Grace added to indifiduality; being appreciated, desired."
2032-11-13,36.2,太陽弧,O,=,P,chart  The supernatural; other realms seem to be involved with life occurrences; unusual problems; peculiar experiences; possible concerns about death matters; creative enterprise.
2032-11-26,36.2,太陽弧,U,=,R,chart  Suppression of love feelings; relationship with someone of conspicuous age difference; learning trust in romance; trying to understand peacefulness and calm.
2032-12-19,36.3,太陽弧,T,=,O,chart  Inspiration; imagination made applicable; personal magnetism.
2033-03-07,36.5,太陽弧,U,=,E,chart  Wisdom through duress; maturation through depression; the sense of heavy responsibility.
2033-05-04,36.6,太陽弧,‹,=,X,chart  Being recognized; meeting or marriage.
2033-11-26,37.2,太陽弧,Q,=,I,"chart  Independent, even revolutionary spirit; being oneself and getting away with it."
2033-12-04,37.2,太陽弧,Y,=,X,"chart  Success, recognition, good fortune; sense of purpose."
2034-04-03,37.5,太陽弧,Z,=,W,chart  Focus on personal needs and relationships to fulfill them.
2034-06-15,37.7,太陽弧,W,=,I,"chart  Emotional individuation, emotional tensions."
2034-08-14,37.9,太陽弧,P,=,Y,chart  Tremendous optimism; a thrust for power; leadership.
2034-10-22,38.1,太陽弧,Z,=,Q,chart  Testing the identity; personality clarification through the reactions of others.
2035-03-13,38.5,太陽弧,‹,=,Z,chart  Personal relationships.
2035-03-16,38.5,太陽弧,P,=,‹,chart  Identification with a large group; making very important contacts; a life-significant relationship.
2035-10-13,39.1,太陽弧,Y,=,Z,chart  Enthusiasm; harmony.
2035-11-29,39.2,太陽弧,E,=,T,chart  Nervous drive.
